lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek,combo
"308.05038689157860","371.94961310842140",01,15,Friday,"splunkes01-stream:ip-main"
15,15,01,15,Friday,"splunksearch01-exec-main"
15,15,01,15,Friday,"splunksearch02-exec-main"
0,0,01,15,Friday,"splunksearch02-stash-main"
15,15,01,15,Friday,"splunksearch03-exec-main"
"326.27323142716490","1555.72676857283520",01,15,Friday,"usesplunkdeploy01-stream:ip-main"
0,0,01,15,Friday,"usesplunkfwd01-detectify_findings-main"
15,15,01,15,Friday,"usesplunkfwd01-exec-main"
0,0,01,15,Monday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Monday,"splunkes01-ess_content_importer-main"
"303.434502765306100","382.565497234693900",01,15,Monday,"splunkes01-stream:ip-main"
15,15,01,15,Monday,"splunksearch01-exec-main"
15,15,01,15,Monday,"splunksearch02-exec-main"
0,0,01,15,Monday,"splunksearch02-stash-main"
15,15,01,15,Monday,"splunksearch03-exec-main"
"298.72979081849530","1589.27020918150470",01,15,Monday,"usesplunkdeploy01-stream:ip-main"
0,0,01,15,Monday,"usesplunkfwd01-detectify_findings-main"
15,15,01,15,Monday,"usesplunkfwd01-exec-main"
0,0,01,15,Saturday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Saturday,"splunkes01-ess_content_importer-main"
"317.7880614742338","398.2119385257662",01,15,Saturday,"splunkes01-stream:ip-main"
15,15,01,15,Saturday,"splunksearch01-exec-main"
15,15,01,15,Saturday,"splunksearch02-exec-main"
0,0,01,15,Saturday,"splunksearch02-stash-main"
15,15,01,15,Saturday,"splunksearch03-exec-main"
"146.57837128619394","1757.42162871380600",01,15,Saturday,"usesplunkdeploy01-stream:ip-main"
0,0,01,15,Saturday,"usesplunkfwd01-detectify_findings-main"
15,15,01,15,Saturday,"usesplunkfwd01-exec-main"
0,0,01,15,Sunday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Sunday,"splunkes01-ess_content_importer-main"
"312.052976875512570","353.947023124487430",01,15,Sunday,"splunkes01-stream:ip-main"
15,15,01,15,Sunday,"splunksearch01-exec-main"
15,15,01,15,Sunday,"splunksearch02-exec-main"
0,0,01,15,Sunday,"splunksearch02-stash-main"
15,15,01,15,Sunday,"splunksearch03-exec-main"
"343.07529706019966","1558.92470293980020",01,15,Sunday,"usesplunkdeploy01-stream:ip-main"
0,0,01,15,Sunday,"usesplunkfwd01-detectify_findings-main"
15,15,01,15,Sunday,"usesplunkfwd01-exec-main"
0,0,01,15,Thursday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Thursday,"splunkes01-ess_content_importer-main"
"310.61624294032083","383.38375705967917",01,15,Thursday,"splunkes01-stream:ip-main"
15,15,01,15,Thursday,"splunksearch01-exec-main"
15,15,01,15,Thursday,"splunksearch02-exec-main"
0,0,01,15,Thursday,"splunksearch02-stash-main"
15,15,01,15,Thursday,"splunksearch03-exec-main"
"330.2053479611797","1571.7946520388205",01,15,Thursday,"usesplunkdeploy01-stream:ip-main"
0,0,01,15,Thursday,"usesplunkfwd01-detectify_findings-main"
15,15,01,15,Thursday,"usesplunkfwd01-exec-main"
0,0,01,15,Tuesday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Tuesday,"splunkes01-ess_content_importer-main"
"308.475480565264660","391.524519434735340",01,15,Tuesday,"splunkes01-stream:ip-main"
15,15,01,15,Tuesday,"splunksearch01-exec-main"
15,15,01,15,Tuesday,"splunksearch02-exec-main"
0,0,01,15,Tuesday,"splunksearch02-stash-main"
15,15,01,15,Tuesday,"splunksearch03-exec-main"
"308.20294118309630","1613.79705881690370",01,15,Tuesday,"usesplunkdeploy01-stream:ip-main"
0,0,01,15,Tuesday,"usesplunkfwd01-detectify_findings-main"
15,15,01,15,Tuesday,"usesplunkfwd01-exec-main"
0,0,01,15,Wednesday,"34.193.54.29:8088-httpevent-main"
0,0,01,15,Wednesday,"splunkes01-ess_content_importer-main"
